dH/H forceTopX forceTopY lengthFoot
-1.030e-01 -2.686e+04 -1.184e+05 5.000e-01
-1.040e-01 -2.671e+04 -1.210e+05 5.000e-01
-1.050e-01 -2.744e+04 -1.211e+05 5.000e-01
-1.060e-01 -2.809e+04 -1.234e+05 5.000e-01
-1.070e-01 -2.836e+04 -1.241e+05 5.000e-01
-1.080e-01 -2.785e+04 -1.229e+05 5.000e-01
-1.090e-01 -2.687e+04 -1.223e+05 5.000e-01
-1.100e-01 -2.629e+04 -1.235e+05 5.000e-01
-1.110e-01 -2.680e+04 -1.252e+05 5.000e-01
-1.120e-01 -2.701e+04 -1.221e+05 5.000e-01
-1.130e-01 -2.609e+04 -1.193e+05 5.000e-01
-1.140e-01 -2.619e+04 -1.220e+05 5.000e-01
-1.150e-01 -2.649e+04 -1.239e+05 5.000e-01
-1.160e-01 -2.716e+04 -1.238e+05 5.000e-01
-1.170e-01 -2.711e+04 -1.260e+05 5.000e-01
-1.180e-01 -2.694e+04 -1.237e+05 5.000e-01
-1.190e-01 -2.532e+04 -1.199e+05 5.000e-01
-1.200e-01 -2.507e+04 -1.182e+05 5.000e-01
#Elapsed time in hours: 4.552593041857084
